original,label,antonym_raw,add_not_raw,antonym,add_not
"Earnings per share ( EPS ) amounted to EUR1 .37 , down from EUR2 .30 .",negative,"Earnings per share ( EPS ) amounted to EUR1 .37 , down from EUR2 .30 .","Earnings per share ( EPS ) didn't amount to EUR1 .37 , down from EUR2 .30 .","Earnings per share ( EPS ) amounted to EUR1 .37 , down from EUR2 .30 .","Earnings per share ( EPS ) didn't amount to EUR1 .37 , down from EUR2 .30 ."
"Kiosk and cinema operations have suffered , in particular .",negative,"Kiosk and cinema operations have enjoy , in particular .","Kiosk and cinema operations don't have suffered , in particular .","Kiosk and cinema operations have enjoyed , in particular .","Kiosk and cinema operations don't have suffered, in particular."
"Last week , the Finnish metals and technology group announced plans to sell more than 80 percent of its technology unit to further the company 's strategic goal of becoming the world 's largest stainless steel maker .",positive,"Last week , the Finnish metals and technology group announced plans to buy more than 80 percent of its technology unit to further the company 's strategic goal of becoming the world 's largest stainless steel maker .","Last week , the Finnish metals and technology group didn't announce plans to sell more than 80 percent of its technology unit to further the company 's strategic goal of becoming the world 's largest stainless steel maker .","Last week, the Finnish metals and technology group announced plans to buy more than 80 percent of its technology unit to further the company's strategic goal of becoming the world's largest stainless steel maker.","Last week, the Finnish metals and technology group didn't announce plans to sell more than 80 percent of its technology unit to further the company's strategic goal of becoming the world's largest stainless steel maker."
"According to Karhinen , OP-Pohjola is an exciting enterprise because the cooperation will bring huge opportunities for customers and the company itself .",positive,"According to Karhinen , OP-Pohjola is an unexciting enterprise because the cooperation will bring huge opportunities for customers and the company itself .","not According to Karhinen , OP-Pohjola is an exciting enterprise because the cooperation will bring huge opportunities for customers and the company itself .","According to Karhinen, OP-Pohjola is an exciting enterprise because the cooperation will bring huge opportunities for customers and the company itself.","According to Karhinen, OP-Pohjola is an exciting enterprise because the cooperation will bring huge opportunities for customers and the company itself."
"Sales climbed 19.2 pct to 1.002 bln eur , surpassing the 953 mln eur consensus figure .",positive,"Sales wane 19.2 pct to 1.002 bln eur , surpassing the 953 mln eur consensus figure .","Sales didn't climb 19.2 pct to 1.002 bln eur , surpassing the 953 mln eur consensus figure .","Sales waned 19.2 pct to 1.002 bln eur , surpassing the 953 mln eur consensus figure.","Sales didn't climb 19.2 pct to 1.002 billion eur , surpassing the 953 million eur consensus figure."
"The Helsinki-based company , which also owns the Salomon , Atomic and Suunto brands , said net profit rose 15 percent in the three months through Dec. 31 to (  x20ac ) 47 million ( $ 61US million ) , from (  x20ac ) 40.8 million a year earlier .",positive,"The Helsinki-based company , which also owns the Salomon , Atomic and Suunto brands , said gross profit rose 15 percent in the three months through Dec. 31 to ( x20ac ) 47 million ( $ 61US million ) , from ( x20ac ) 40.8 million a year earlier .","The Helsinki-based company , which also doesn't own the Salomon , Atomic and Suunto brands , said net profit rose 15 percent in the three months through Dec. 31 to ( x20ac ) 47 million ( $ 61US million ) , from ( x20ac ) 40.8 million a year earlier .","The Helsinki-based company, which also owns the Salomon , Atomic and Suunto brands, said gross profit rose 15 percent in the three months through Dec. 31 to ( x20ac ) 47 million ( $ 61US million ) , from ( x20ac ) 40.8 million a year earlier.","The Helsinki-based company also doesn't own the Salomon , Atomic and Suunto brands . net profit rose 15 percent in the three months through Dec. 31 to ( x20ac ) 47 million ( $ 61US million ) , from ( x20ac ) 40.8 million a year earlier."
"Since the association 's data do not cover sales figures from about 100 small local breweries and sales of imported beer products , the actual market shares of its members are smaller than those given in the report .",negative,"Since the disassociation 's data do not cover sales figures from about 100 small local breweries and sales of imported beer products , the actual market shares of its members are smaller than those given in the report .","Since the association 's data don't do not cover sales figures from about 100 small local breweries and sales of imported beer products , the actual market shares of its members are smaller than those given in the report .","Since the disassociation's data do not cover sales figures from about 100 small local breweries and sales of imported beer products, the actual market shares of its members are smaller than those given in the report.","Since the association's data don't cover sales figures from about 100 small local breweries and sales of imported beer products, the actual market shares of its members are smaller than those given in the report."
It also turned in earnings per share ( EPS ) of EUR 0.44 versus loss per share of EUR 2.26 .,positive,It also unbend in earnings per share ( EPS ) of EUR 0.44 versus loss per share of EUR 2.26 .,It also didn't turn in earnings per share ( EPS ) of EUR 0.44 versus loss per share of EUR 2.26 .,It also results in earnings per share ( EPS ) of EUR 0.44 versus loss per share of EUR 2.26 .,It also didn't turn in earnings per share ( EPS ) of EUR 0.44 versus loss per share of EUR 2.26 .
Operating profit in the fourth quarter went down to EUR3m from EUR4 .2 m for the corresponding period of 2009 as it included costs of growth projects .,negative,Operating profit in the fourth quarter stay_in_place down to EUR3m from EUR4 .2 m for the corresponding period of 2009 as it included costs of growth projects .,Operating profit in the fourth quarter didn't go down to EUR3m from EUR4 .2 m for the corresponding period of 2009 as it included costs of growth projects .,Operating profit in the fourth quarter stay_in_place down to EUR3m from EUR4 .2 m for the corresponding period of 2009 as it included costs of growth projects.,Operating profit in the fourth quarter didn't go down to EUR3m from EUR4 .2m for the corresponding period of 2009 as it included costs of growth projects.
Clothing chain Sepp+ñl+ñ 's net sales increased by 7.0 % to EUR 30.8 mn .,positive,Clothing chain Sepp+ñl+ñ 's gross sales increased by 7.0 % to EUR 30.8 mn .,Clothing chain Sepp+ñl+ñ 's net sales not increased by 7.0 % to EUR 30.8 mn .,The clothing chain Sepp+l+ 's gross sales increased by 7.0 % to EUR 30.8 mn.,The net sales of the clothing chain Sepp+l+ have not increased by 7.0 % to EUR 30.8 mn.
"In a separate announcement to the Helsinki stock exchange , Atria revealed that the company 's third quarter profits declined from EUR13 .9 m in the third quarter of last year to EUR12 .7 m in this year 's Q3 .",negative,"In a joint announcement to the Helsinki stock exchange , Atria revealed that the company 's third quarter profits declined from EUR13 .9 m in the third quarter of last year to EUR12 .7 m in this year 's Q3 .","In a separate announcement to the Helsinki stock exchange , Atria didn't reveal that the company 's third quarter profits declined from EUR13 .9 m in the third quarter of last year to EUR12 .7 m in this year 's Q3 .","In a joint announcement to the Helsinki stock exchange, Atria revealed that the company's third quarter profits declined from EUR13 .9 m in the third quarter of last year to EUR12 .7 m in this year's Q3 .","In a separate announcement to the Helsinki stock exchange, Atria didn't reveal that the company's third quarter profits declined from EUR13 .9 m in the third quarter of last year to EUR12 .7 m in this year's Q3 ."
